Identifiant Museofile,Region administrative,Departement,Commune,Nom officiel du musee,Adresse,Lieu,Code Postal,Telephone,Latitude,Longitude,REF_Deps
M0110,Auvergne-Rhone-Alpes,Cantal,Aurillac,musee d'art et d'archeologie,37 rue des Carmes,Centre culturel Pierre Mendes France,15000,04 71 45 46 10,"44,925394","2,441947",1501402
M0112,Auvergne-Rhone-Alpes,Cantal,Ruynes-en-Margeride,ecomusee de la Margeride,Bureau de tourisme,,15320,04 71 23 42 96,"45,000522","3,224427",1516801
M0113,Auvergne-Rhone-Alpes,Cantal,Saint-Flour,musee de la Haute Auvergne,"24 rue Sorel, apt 9",Ancien Palais Episcopal,15100,04 71 60 22 32,"45,0343","3,092979",1518701
M0987,Auvergne-Rhone-Alpes,Drome,Saint-Paul-Trois-Chateaux,musee archeologique,Place Castellane,,26130,04 75 04 74 19 (conservation),"44,349149","4,768163",2632401
M0983,Auvergne-Rhone-Alpes,Drome,Grignan,musee departemental du chateau,Le village,,26230,04 75 91 83 50,"44,439013","4,873189",2614601
M0986,Auvergne-Rhone-Alpes,Drome,Romans,musee de la chaussure,Rue Bistour,Portail Roger VIVIER,26100,04 75 05 51 81,"45,0431","5,055376",2628101
M0982,Auvergne-Rhone-Alpes,Drome,Die,musee d'histoire et d'archeologie,11 rue Camille Buffardel,Maison Joseph Reynaud,26150,04 75 22 40 05,"44,75504","5,369785",2611301
M0984,Auvergne-Rhone-Alpes,Drome,Montelimar,musee du chateau des Adhemar,19 rue Pierre Julien,,26200,04 75 53 79 24,"44,556294","4,750056",2619801
M0985,Auvergne-Rhone-Alpes,Drome,Mours-Saint-Eusebe,musee d'art sacre,5 place Elisee Monteil,Eglise,26540,04 75 79 27 17,"45,07091","5,052549",2621801
M0988,Auvergne-Rhone-Alpes,Drome,Valence,musee des beaux-arts,4 place des Ormeaux,Ancien palais episcopal,26000,04 75 79 20 80,"44,931125","4,889563",2636201
M0989,Auvergne-Rhone-Alpes,Drome,Vassieux-en-Vercors,musee du site prehistorique,L'Hale,,26420,04 75 48 27 81,"44,865703","5,357302",2636401
M0117,Auvergne-Rhone-Alpes,Haute-Loire,Retournac,musee des manufactures de dentelles,14 Avenue de la Gare,,43130,04 71 59 41 63,"45,202566","4,035268",4316201
M0118,Auvergne-Rhone-Alpes,Haute-Loire,Saint-Arcons-d'Allier,musee de la ferblanterie,,,43300,04 71 74 02 04,"45,067807","3,548896",4316701
M0116,Auvergne-Rhone-Alpes,Haute-Loire,Le Puy-en-Velay,musee Crozatier,Jardin Henri Vinay,,43000,04 71 06 62 40,"45,0386673846","3,8834560731",4315701
M7031,Auvergne-Rhone-Alpes,Haute-Loire,Chilhac,musee de paleontologie,Place de l'Eglise,,43380,04 71 77 47 26,"45,148133","3,402324",4307001
M0115,Auvergne-Rhone-Alpes,Haute-Loire,Lavaudieu,musee des arts et traditions populaires,Musee ATP,,43100,04 71 76 46 11,"45,275033","3,434883",4311701
M1053,Auvergne-Rhone-Alpes,Haute-Savoie,Chamonix,musee alpin,89 avenue Michel Croz,La Residence,74400,04 50 55 29 46,"45,923429","6,871049",7405601
M1056,Auvergne-Rhone-Alpes,Haute-Savoie,Thones,musee des Vallees de Thones,2 rue Blanche,,74230,04 50 02 97 76,"45,881618","6,324161",7428001
M1054,Auvergne-Rhone-Alpes,Haute-Savoie,Lovagny,musee Leon Mares,60 allee du chateau,Chateau de Montrottier,74330,04 50 46 23 02,"45,89818","6,040579",7415201
M1055,Auvergne-Rhone-Alpes,Haute-Savoie,Rumilly,musee de Rumilly et de l'Albanais,5 Place de la Manufacture,,74150,04 50 64 64 18,"45,861683","5,947732",7422501
M1057,Auvergne-Rhone-Alpes,Haute-Savoie,Thonon-les-Bains,musee du Chablais,Square Eberbach,Chateau de Sonnaz,74200,04 50 70 69 49,"46,37487","6,48177",7428102
M1052,Auvergne-Rhone-Alpes,Haute-Savoie,Annecy,musee-chateau,Place du chateau,,74000,04 50 33 87 30,"45,897263","6,124916",7401001
M0990,Auvergne-Rhone-Alpes,Isere,Aoste,musee des antiquites gallo-romaines,43 place du musee,,38490,04 76 32 58 27,"45,587605","5,60661",3801201
M0995,Auvergne-Rhone-Alpes,Isere,Grenoble,musee Stendhal,20 Grande Rue,,38000,04 76 86 52 08,"45,191481","5,728083",3818507
M0999,Auvergne-Rhone-Alpes,Isere,Hieres-sur-Ambly,maison du patrimoine,place de l'Eglise,,38118,04 74 95 19 10,"45,797246","5,292625",3819001
M1006,Auvergne-Rhone-Alpes,Isere,Vienne,musee lapidaire Saint-Pierre,place Saint-Pierre,Eglise Saint-Pierre,38200,04 74 85 20 35,"45,523234","4,870694",3854402
M1007,Auvergne-Rhone-Alpes,Isere,Vienne,musee du cloître Saint-Andre-le-Bas,place du Jeu de Paume,,38200,04 74 85 18 49,"45,526967","4,873538",3854401
M0992,Auvergne-Rhone-Alpes,Isere,Echirolles,musee Geo-Charles,1 rue Geo-Charles,,38130,04 76 22 58 63,"45,14935","5,699614",3815101
M0997,Auvergne-Rhone-Alpes,Isere,Grenoble,musee Saint-Laurent,place Saint-Laurent,,38000,04 76 44 78 68,"45,19778","5,731922",3818501
M1123,Auvergne-Rhone-Alpes,Isere,Allevard-les-Bains,musee Jadis Allevard,Parc des Forges,,38580,04 76 45 16 40,"45,3925431649","6,0771354376",3800601
M7038,Auvergne-Rhone-Alpes,Isere,Grenoble,museum d'histoire naturelle,1 rue Dolomieu,,38000,04 76 44 05 35,"45,188059","5,735163",3818503
M0993,Auvergne-Rhone-Alpes,Isere,Grand'Maison,conservatoire-musee des industries hydroelectriques,"Route du Lac, le Verney",,38114,04 76 80 78 00,"45,147612","6,049634",3800501
M0994,Auvergne-Rhone-Alpes,Isere,Grenoble,musee de Grenoble,5 place Lavalette,,38000,04 76 63 44 44,"45,194026","5,732094",3818505
M1001,Auvergne-Rhone-Alpes,Isere,La Cote-Saint-Andre,musee Hector Berlioz,69 rue de La Republique,,38260,04 74 20 24 88,"45,393386","5,261189",3813001
M0991,Auvergne-Rhone-Alpes,Isere,Bourgoin-Jallieu,musee de Bourgoin-Jallieu,17 rue Victor Hugo,,38300,04 74 28 19 74,"45,586588","5,279159",3805301
M0998,Auvergne-Rhone-Alpes,Isere,Grenoble,musee de la resistance et de la deportation,14 rue Hebert,,38000,04 76 42 38 53,"45,190041","5,735245",3818508
M1002,Auvergne-Rhone-Alpes,Isere,La Mure,musee du pays matheysin,Rue du Colonel Escallon,Maison Caral,38350,04 76 30 98 15,"44,904362","5,784427",3826901
M1137,Auvergne-Rhone-Alpes,Isere,Voiron,musee Mainssieux,7 place Leon Chaloin,,38500,04 76 65 67 17,"45,356047","5,579652",3856301
M0996,Auvergne-Rhone-Alpes,Isere,Grenoble,musee dauphinois,30 rue Maurice Gignoux,Ancien Couvent de Sainte-Marie-d'En-Haut,38031,04 57 58 89 01,"45,1951875353","5,7269445363",3818502
M1000,Auvergne-Rhone-Alpes,Isere,L'Alpe-d'Huez,maison du patrimoine de l'Oisans,,route de La Poste,38750,04 76 11 21 74,"45,087019","6,068988",3819101
M1003,Auvergne-Rhone-Alpes,Isere,La Tronche,musee Hebert - d'Uckermann,Chemin Hebert,,38700,04 76 42 46 12,"45,205613","5,751334",3851601
M1004,Auvergne-Rhone-Alpes,Isere,Saint-Pierre-de-Chartreuse,musee de la Grande Chartreuse,,eglise Saint-Hugues,38380,04 76 88 65 01,"45,341728","5,814737",3844203
M1005,Auvergne-Rhone-Alpes,Isere,Vienne,musee des beaux-arts et d'archeologie,place de Miremont,,38200,04 74 85 50 42,"45,524069","4,87462",3854403
M1008,Auvergne-Rhone-Alpes,Isere,Vizille,musee departemental de la Revolution française,Domaine de Vizille,Place du chateau,38220,04 76 68 07 35,"45,08753","5,773234",3856201
M1187,Auvergne-Rhone-Alpes,Isere,Montferrat (Charavines),musee-parc archeologique du lac de Paladru,Place de l'eglise,,38850,04 76 55 77 47,"45,428526","5,51555",3808201
M1212,Auvergne-Rhone-Alpes,Isere,Vif,musee Champollion,,45 Rue Champollion,38450,04 57 58 88 50,"45,050408","5,6692",
M1013,Auvergne-Rhone-Alpes,Loire,Estivareilles,musee de l'armee secrete et de la resistance,456 route du musee,,42380,04 77 50 29 20,"45,415906","4,010414",4209101
M1020,Auvergne-Rhone-Alpes,Loire,Roanne,musee Joseph Dechelette,22 rue Anatole France,Hotel Valence de la Minardiere,42300,04 77 23 68 77,"46,034953","4,069842",4218701
M1023,Auvergne-Rhone-Alpes,Loire,Saint-Etienne,musee d'art et d'industrie,2 Place Comte,,42000,04 77 49 73 00,"45,431538","4,387485",4221802
M1024,Auvergne-Rhone-Alpes,Loire,Saint-Etienne,musee d'art moderne et contemporain de Saint-Etienne Metropole - musee d'art moderne,La Terrasse,BP 80241,42006,04 77 79 52 52,"45,4696479352","4,3745268633",4221801
M1027,Auvergne-Rhone-Alpes,Loire,Saint-Germain-Laval,musee municipal,place de l'Hotel de Ville,,42260,04 77 65 41 30,"45,830168","4,010608",4223001
M1012,Auvergne-Rhone-Alpes,Loire,Chazelles-sur-Lyon,musee du chapeau,31 rue Martouret,La Chapellerie,42140,04 77 94 23 29,"45,638304","4,394089",4205901
M1029,Auvergne-Rhone-Alpes,Loire,Usson-en-Forez,musee rural,Quartier Saint-Joseph Place Alex Folleas,,42550,04 77 50 67 97,"45,392445","3,943885",4231801
M1009,Auvergne-Rhone-Alpes,Loire,Ambierle,musee Alice Taverne,89 rue de la Grye,,42820,04 77 65 60 99,"46,105434","3,896167",4200301
M1011,Auvergne-Rhone-Alpes,Loire,Charlieu,musee hospitalier,9 boulevard du General Leclerc,,42190,04 77 60 28 84,"46,160301","4,17052",4205203
M1010,Auvergne-Rhone-Alpes,Loire,Charlieu,musee de la soierie,9 Boulevard Leclerc,,42190,04 77 60 28 84,"46,160301","4,17052",4205202
M1014,Auvergne-Rhone-Alpes,Loire,Feurs,musee de Feurs,3 rue Victor de Laprade,,42110,04 77 26 24 48,"45,744191","4,219803",4209401
M1017,Auvergne-Rhone-Alpes,Loire,Montbrison,musee de la Diana,Rue Florimont Robertet,La Diana,42600,04 77 96 01 10,"45,60543","4,066822",4214702
M1025,Auvergne-Rhone-Alpes,Loire,Saint-Etienne,musee de la mine,3 Boulevard Franchet d'Esperey,Puits Couriot / Parc-Musee de la Mine ; Parc Joseph Sanguedolce,42000,04 77 43 83 23,"45,438944","4,376487",4221804
M1016,Auvergne-Rhone-Alpes,Loire,Montbrison,musee d'Allard,13 boulevard de la Prefecture,,42600,04 77 96 39 15,"45,608241","4,06195",4214701
M1018,Auvergne-Rhone-Alpes,Loire,Pommiers-en-Forez,musee du vieux Pommiers,Vieux village,Maison privee,42260,04 77 65 40 63,"45,830522","4,104776",4217301
M1026,Auvergne-Rhone-Alpes,Loire,Saint-Etienne-le-Molard,chateau de la Bastie d'Urfe,1061 route de la Batie d'Urfe,,42130,04 77 97 54 68,"45,728472","4,078512",4221901
M1028,Auvergne-Rhone-Alpes,Loire,Saint-Just-Saint-Rambert,musee des civilisations : Daniel Pouget,Place Madeleine Rousseau,,42170,04 77 52 03 11,"45,500657","4,242057",4227901
M0128,Auvergne-Rhone-Alpes,Puy-de-Dome,Riom,musee regional d'Auvergne,10 bis rue Delille,,63200,04 73 38 17 31,"45,895037","3,116254",6330003
M0130,Auvergne-Rhone-Alpes,Puy-de-Dome,Volvic,musee Marcel Sahut,2 rue des Ecoles,Chateau de Bosredon,63530,04 73 33 57 33,"45,872614","3,038881",6347001
M0121,Auvergne-Rhone-Alpes,Puy-de-Dome,Clermont-Ferrand,musee d'art Roger-Quillot,Place Louis Deteix,Ancien Couvent des Ursulines de Montferrand,63100,04 43 76 25 25,"45,793027","3,07827",6311305
M0123,Auvergne-Rhone-Alpes,Puy-de-Dome,Lezoux,musee de ceramique gallo-romaine,"39, rue de la Republique",,63190,473734242,"45,827628","3,383654",6319501
M0124,Auvergne-Rhone-Alpes,Puy-de-Dome,Marsac-en-Livradois,musee des penitents blancs,place de l'Eglise,,63940,04  73 95 60 08,"45,478967","3,728534",6321101
M0126,Auvergne-Rhone-Alpes,Puy-de-Dome,Murol,musee municipal,Chateau de Murol,,63790,04 73 88 67 10,"45,590429","2,921508",6324701
M0127,Auvergne-Rhone-Alpes,Puy-de-Dome,Riom,musee Francisque Mandet,"14, rue de l'Hotel de ville",,63200,04 73 38 18 53,"45,893874","3,116508",6330002
M0129,Auvergne-Rhone-Alpes,Puy-de-Dome,Thiers,musee municipal de la coutellerie,58 rue de la Coutellerie,Hotel des Echevins,63300,04 73 80 58 86,"45,852318","3,548029",6343001
M0125,Auvergne-Rhone-Alpes,Puy-de-Dome,Mozac,musee lapidaire,place de l'Abbaye,Abbaye,63200,04 73 38 18 53,"45,892133","3,094609",6324501
M7032,Auvergne-Rhone-Alpes,Puy-de-Dome,Clermont-Ferrand,museum d'histoire naturelle Lecoq,"15, rue Bardoux",Hotel particulier Henri Lecoq,63000,04 43 76 25 60,"45,774138","3,088299",6311303
M7045,Auvergne-Rhone-Alpes,Puy-de-Dome,Menat,musee paleontologique,Place de la Mairie,Le gîte a fossiles,63560,04 73 85 54 62,"46,103652","2,904431",6322301
M0119,Auvergne-Rhone-Alpes,Puy-de-Dome,Arlanc,musee de la dentelle,53 route nationale,Hotel de ville,63220,04 73 95 00 03,"45,414373","3,724421",6301001
M0120,Auvergne-Rhone-Alpes,Puy-de-Dome,Clermont-Ferrand,musee Bargoin,"45, rue Ballainvilliers",,63000,04.43.76.25.50,"45,774229","3,0869",6311301
M1031,Auvergne-Rhone-Alpes,Rhone,Lyon,musee des beaux-arts,20 place des Terreaux,,69001,04 72 10 17 40,"45,767177","4,833576",6938102
M1032,Auvergne-Rhone-Alpes,Rhone,Lyon,musee Gadagne,1 place du Petit College,Hotel de Gadagne,69005,04 78 42 03 61,"45,763856","4,827749",6938501
M1034,Auvergne-Rhone-Alpes,Rhone,Lyon,centre d'histoire de la resistance,14 avenue Berthelot,,69007,04 78 72 23 11,"45,747037","4,835797",6938701
M1036,Auvergne-Rhone-Alpes,Rhone,Lyon,"Lugdunum, musee et theatres romains",17 rue Cleberg,,69005,04 72 38 49 30,"45,760529","4,82004",6938502
M1038,Auvergne-Rhone-Alpes,Rhone,Lyon,musee historique des tissus,"34, rue de la Charite",,69002,04 78 38 42 07,"45,753117","4,831633",6912301
M1039,Auvergne-Rhone-Alpes,Rhone,Lyon,musee des hospices civils de Lyon,3 quai des Celestins,,69002,07.89.87.01.85 / 04.72.40.75.74,"45,760912","4,831492",6938201
M1040,Auvergne-Rhone-Alpes,Rhone,Rochetaille-sur-Saone,musee Henri Malartre,645 rue du Musee 69270 Rochetaillee sur Saone,Chateau,69270,04 78 22 18 80,"45,84492","4,837207",6916801
M1140,Auvergne-Rhone-Alpes,Rhone,Amplepuis,musee Barthelemy-Thimonier,Place de l'Hotel de Ville,,69550,04 74 89 08 90,"45,972502","4,331417",6900601
M7042,Auvergne-Rhone-Alpes,Rhone,Lyon,musee des Confluences,86 quai Perrache,,69002,04 28 38 11 90,"45,73319","4,818042",6938603
M1033,Auvergne-Rhone-Alpes,Rhone,Lyon,musee d'art contemporain,quai Charles de Gaulle,81 Cite internationale,69006,04 72 69 17 17,"45,784864","4,852921",6938101
M1128,Auvergne-Rhone-Alpes,Rhone,Lyon,musee des sapeurs-pompiers de Lyon,358 avenue de Champagne,Centre de secours principal,69009,04 72 17 54 54,"45,790491","4,797411",6938901
M1127,Auvergne-Rhone-Alpes,Rhone,Lyon,musee de l'imprimerie et de la communication graphique,13 rue de la Poulaillerie,,69002,04 78 37 65 98,"45,764219","4,834752",6912304
M7042,Auvergne-Rhone-Alpes,Rhone,Lyon,musee Guimet,86 quai Perrache,,69002,04 28 38 11 90,"45,73319","4,818042",6938603
M1030,Auvergne-Rhone-Alpes,Rhone,Beaujeu,musee folklorique et des traditions populaires,Place de l'Hotel de Ville,,69430,04 74 69 22 88,"46,154524","4,587482",6901801
M1037,Auvergne-Rhone-Alpes,Rhone,Lyon,musee des arts decoratifs,34 rue de la charite,,69002,,"45,75342","4,83153",
M1041,Auvergne-Rhone-Alpes,Rhone,Villefranche-sur-Saone,musee Paul Dini,2 Place Faubert,,69400,474683370,"45,990936","4,721527",6926401
M1156,Auvergne-Rhone-Alpes,Rhone,Saint-Romain-en-Gal,musee archeologique,RD 502,,69483,04 74 53 74 01,45.52955632679911,4.8731588394774645,6923501
M1185,Auvergne-Rhone-Alpes,Rhone,Marnand,ecomusee du Haut Beaujolais,570 chemin des pierres plantees,La Manufacture,69240,04 74 64 06 48,"46,037849","4,315548",6924801
M7042,Auvergne-Rhone-Alpes,Rhone,Lyon,museum d'histoire naturelle,86 quai Perrache,,69002,04 28 38 11 90,"45,73319","4,818042",6938603
M1046,Auvergne-Rhone-Alpes,Savoie,Albertville,musee municipal d'Albertville-Conflans,Grande place Conflans,Maison Rouge,73200,04 79 37 86 86,"45,670787","6,397471",7301101
M1047,Auvergne-Rhone-Alpes,Savoie,Bourg-Saint-Maurice,musee du costume,Hauteville-Gondon,Place de l'eglise,73700,04 79 07 23 33,"45,597053","6,760997",7305401
M1048,Auvergne-Rhone-Alpes,Savoie,Chambery,musee des beaux-arts,place du Palais de Justice,Ancienne Grenette,73000,04 79 33 75 03,"45,567896","5,919306",7306501
M1050,Auvergne-Rhone-Alpes,Savoie,Chambery,musee Savoisien,Square de Lannoy de Bissy,Ancien Couvent des Franciscains,73000,04 79 33 44 48,"45,571174","5,875158",7306502
M1051,Auvergne-Rhone-Alpes,Savoie,Moûtiers,musee de l'academie de la Val d'Isere,23 place Saint-Pierre,Centre culturel Marius Hudry,73600,04 79 24 04 23,"45,483424","6,532778",7318101
M1044,Auvergne-Rhone-Alpes,Savoie,Aix-les-Bains,musee archeologique,Place Maurice Mollard,Hotel de ville,73103,04 79 61 06 57,"45,688633826","5,9156009252",7300802
M1049,Auvergne-Rhone-Alpes,Savoie,Chambery,musee des Charmettes,890 Chemin des Charmettes,,73000,04 79 33 39 44,"45,552732","5,93011",7306503
M7029,Auvergne-Rhone-Alpes,Savoie,Chambery,museum d'histoire naturelle,208 avenue de Lyon,,73000,04 79 33 39 44,"45,563911","5,916266",7306504
M1043,Auvergne-Rhone-Alpes,Savoie,Aime-en-Tarentaise,musee archeologique et mineralogique Pierre Borrione,Montee de Saint Sigismond - Aime,Chapelle Saint Sigismond,73210,04 79 55 67 00,"45,559416","6,651415",7300601
M1045,Auvergne-Rhone-Alpes,Savoie,Aix-les-Bains,musee du docteur Faure,10 boulevard des Cotes,Villa des Chimeres,73100,04 79 61 06 57,"45,692157","5,915578",7300801
M0131,Bourgogne-Franche-Comte,Cote-d'Or,Alise-Sainte-Reine,musee Alesia - centre d'interpretation,1 route des Trois Ormeaux,,21150,03 80 96 96 23,"47,536592","4,469595",2100801
M0133,Bourgogne-Franche-Comte,Cote-d'Or,Beaune,musee du vin de Bourgogne,Rue d'Enfer - Rue Paradis,Hotel des Ducs,21200,03 80 22 08 19,"47,023618","4,837574",2105401
M0135,Bourgogne-Franche-Comte,Cote-d'Or,Buffon,musee de la siderurgie en Bourgogne du Nord,La Grande Forge,,21500,03 80 92 10 35,"47,649485","4,260891",2111401
M0137,Bourgogne-Franche-Comte,Cote-d'Or,Dijon,musee des beaux-arts,1 place de la Ste Chapelle,"Palais des Etats de Bourgogne, Dijon Cedex",21000,03 80 74 52 09,"47,321356","5,042873",2123104
M0147,Bourgogne-Franche-Comte,Cote-d'Or,Semur-en-Auxois,musee municipal,3 Rue Jean-Jacques Collenot,,21140,03 80 97 24 25,"47,490137","4,336452",2160301
M1208,Bourgogne-Franche-Comte,Cote-d'Or,Dijon,musee d'art sacre,15 rue Sainte-Anne,Eglise du Monastere des Bernardines,21000,03 80 48 80 90,"47,317559","5,037282",2123107
M7035,Bourgogne-Franche-Comte,Cote-d'Or,Dijon,museum d'histoire naturelle,Parc de l'Arquebuse 1 avenue Albert 1er et 14 rue Jehan de Marville,Jardin de l'Arquebuse,21000,03 80 48 82 00,"47,322357","5,025636",2123105
M0134,Bourgogne-Franche-Comte,Cote-d'Or,Beaune,musee des beaux-arts,6 boulevard Perpreuil - 19 rue Poterne,Porte Marie de Bourgogne,21200,03 80 24 98 70,"47,02097","4,839393",2105402
M0143,Bourgogne-Franche-Comte,Cote-d'Or,Montbard,musee Buffon,rue du Parc Buffon,Anciennes Ecuries de Buffon,21506,03 80 92 50 42,"47,6257858811","4,3369859364",2142501
M0136,Bourgogne-Franche-Comte,Cote-d'Or,Chatillon-sur-Seine,musee du Chatillonnais,14 Rue de la Liberation,Ancienne abbaye Notre-Dame,21400,03 80 91 24 67,"47,863791","4,574632",2115401
M0139,Bourgogne-Franche-Comte,Cote-d'Or,Dijon,musee de la vie bourguignonne,17 rue Sainte-Anne,Ancien monastere des Bernardines,21000,03 80 48 80 90,"47,317415","5,037131",2123106
M0141,Bourgogne-Franche-Comte,Cote-d'Or,Fixin,musee Noisot,Parc Noisot,Parc Noisot,21220,03 80 52 45 52,"47,245363","4,962515",2126501
M0146,Bourgogne-Franche-Comte,Cote-d'Or,Saulieu,musee François Pompon,"3, place du docteur Roclore",,21210,03 80 64 19 51,"47,279459","4,229714",2158401
M0140,Bourgogne-Franche-Comte,Cote-d'Or,Dijon,musee Rude,"8, rue Vaillant",Eglise Saint-Etienne,21000,03 80 74 52 09,"47,32122","5,043978",2123101
M1206,Bourgogne-Franche-Comte,Cote-d'Or,Beaune,musee Marey,6 boulevard Perpreuil - 19 rue Poterne,Porte Marie de Bourgogne,21200,03 80 24 56 92,"47,02097","4,839393",2105404
M5011,Bourgogne-Franche-Comte,Cote-d'Or,Dijon,musee national Magnin,"4, rue des Bons-Enfants",,21000,03 80 67 11 10,"47,320958","5,042189",2123103
